country,keywords
Afghanistan,"Islam,Pashtun,Persian,Balochi,Turkmen,Uzbek,Tajik,Nuristani,Arab,Aimaq,Hazara,Kyrgyz,Pashayi,Pamiri,Nuristani,Turkic,Qizilbash,Brahui,Qizilbash-Aimaq,Art and Music"
Albania,"Albanian Language,Albanian Music,Albanian Cuisine,Albanian Folklore,Albanian Art,Albanian Literature,Albanian Religion,Albanian Architecture,Albanian Clothing,Albanian Dance,Albanian Customs,Albanian Traditions,Albanian Family Values,Albanian Hospitality,Albanian Hospitality Customs,Albanian Greetings,Albanian Greetings Customs,Albanian Greetings Traditions,Albanian Festivals,Albanian Celebrations"
Algeria,"Berber,Arab,Islamic,French,Mediterranean,Music,Art,Cuisine,Literature,Poetry,Folklore,Handicrafts,Dance,Architecture,Clothing,Religion,Festivals,Sports,Music,Language"
American Samoa,"Fa'a Samoa,Samoan language,Tapu,Fa'amatai,Aiga,Fofo,Tatau,Laulau,Ula,Fiafia,Pulenu'u,Si'i,Sagaga,Malu,Faalavelave,Lauga,Fautasi,Taualuga,Faleaitu,To'ona'i"
Andorra,"Catalan,Romance Language,Skiing,Hiking,Snowboarding,Mountain Biking,Outdoor Activities,Traditional Music,Folk Dancing,Gastronomy,Architecture,Artisan Crafts,Shopping,Religious Celebrations,Festivals,Medieval Heritage,Roman Catholic Church,Shepherding,Nature-Based Tourism,Environmental Conservation"
Angola,"Music,Dance,Cuisine,Language,Clothing,Religion,Art,Literature,Poetry,Sports,Festivals,Architecture,Oral Traditions,Music Instruments,Musical Genres,Crafts,Storytelling,Proverbs,Legends,Folktales"
Anguilla,"Caribbean,British,African,Creole,Music,Dance,Food,Art,Religion,Language,Family,Education,Fishing,Boating,Sports,Festivals,Cuisine,Hospitality,Nature,Traditions"
Antigua & Barbuda,"Caribbean,British,African,Creole,Calypso,Reggae,Soca,Steelpan,Cricket,Fishing,Sailing,Music,Dance,Literature,Arts,Cuisine,Religion,Festivals,Language,Traditions"
Argentina,"Tango,Mate,Gaucho,Football,Malbec,Asado,Empanadas,Bariloche,Patagonia,Buenos Aires,Pampas,Folklore,Yerba Mate,Dulce de Leche,Carnaval,Indigenous Art,Charango,Milonga,Churrasco,Bomba y Plena"
Armenia,"Language: Armenian,Music: Duduk, Sharakans, Zurna,Dance: Yarkhushta, Kochari,Cuisine: Khashlama, Harissa, Dolma,Religion: Christianity (Armenian Apostolic Church),Art: Carpet weaving, Pottery, Miniature painting,Literature: Epic of Gilgamesh, Book of Lamentations,Architecture: Monasteries, Churches, Fortresses,Clothing: National costumes, Headscarves,Sports: Wrestling, Chess, Football,Holidays: Christmas, New Year, Easter,Festivals: Vardavar, Trndez, Vartavar,Customs: Pomegranate blessing, Bread blessing,Symbols: Mount Ararat, Eagle, Lion,Games: Backgammon, Tuf,Crafts: Carpet weaving, Metalworking,Mythology: Hayk, Aramazd, Anahit,Traditions: Lavash making, Armenian hospitality,Values: Respect for elders, Honor, Education,Music Instruments: Duduk, Zurna, Kamancha"
